id,host_id,host_since,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,last_review,review_scores_rating,license,bedrooms,amenities_count
831713,4355017,2012-12-08,f,5e Arrondissement,45.75673,4.81539,Entire home/apt,4,1.0,72.0,3,180,309,0,2022-07-10,4.76,licensed,2.0,39
845068,3548058,2012-09-12,f,2e Arrondissement,45.76413,4.83734,Entire home/apt,4,1.0,190.0,15,1124,5,0,2018-10-22,4.38,licensed,2.0,62
877193,4634428,2013-01-08,t,3e Arrondissement,45.75874,4.84776,Entire home/apt,8,2.0,240.0,2,14,3,11,2024-09-01,4.9,licensed,5.0,38
903331,4829230,2013-01-24,f,6e Arrondissement,45.76964,4.85835,Entire home/apt,6,2.0,180.0,4,92,295,1,2023-10-07,4.54,licensed,2.0,48
903333,4829230,2013-01-24,f,6e Arrondissement,45.76758,4.8584,Entire home/apt,6,2.0,85.0,60,365,312,3,2024-09-10,5.0,Mobility lease only,2.0,34
911363,4890321,2013-01-29,t,7e Arrondissement,45.74607,4.84326,Entire home/apt,6,1.0,150.0,2,15,135,14,2024-06-24,4.78,licensed,3.0,37
911577,4156965,2012-11-15,f,7e Arrondissement,45.75158,4.84516,Entire home/apt,4,1.0,58.0,28,1124,227,2,2024-07-28,4.41,licensed,1.0,26
911789,4890321,2013-01-29,t,7e Arrondissement,45.74778,4.84341,Private room,2,1.0,59.0,2,1125,49,0,2022-09-22,4.78,Unlicensed,1.0,24
944927,5117719,2013-02-17,f,8e Arrondissement,45.73959,4.87598,Entire home/apt,2,1.0,60.0,7,1125,197,6,2024-06-24,4.56,licensed,0.0,28
1006613,5536467,2013-03-19,f,3e Arrondissement,45.76143,4.8455,Entire home/apt,6,1.0,299.0,2,1125,122,10,2024-06-03,4.9,licensed,3.0,44
1041201,4154906,2012-11-15,t,1er Arrondissement,45.76914,4.83575,Entire home/apt,2,1.0,109.0,1,15,260,64,2024-08-27,4.9,licensed,1.0,26
1055532,1807311,2012-02-25,f,1er Arrondissement,45.7715,4.83261,Entire home/apt,3,1.0,75.0,14,320,274,0,2022-05-21,4.5,licensed,2.0,8
1114077,4469480,2012-12-22,f,5e Arrondissement,45.75448,4.81607,Entire home/apt,5,1.0,208.0,6,32,213,14,2024-08-25,4.84,licensed,2.0,58
1134118,291015206,2019-09-02,f,2e Arrondissement,45.74888,4.82966,Entire home/apt,4,1.0,78.0,2,1125,320,36,2024-09-08,4.55,licensed,2.0,41
1140466,6254366,2013-05-06,f,7e Arrondissement,45.74831,4.8508,Entire home/apt,2,1.0,44.0,30,1125,12,2,2024-08-31,4.41,Mobility lease only,1.0,34
1143697,6270808,2013-05-07,f,5e Arrondissement,45.74892,4.79114,Entire home/apt,4,2.0,110.0,6,365,105,0,2021-08-14,5.0,Unlicensed,3.0,9
1186824,6489905,2013-05-20,f,1er Arrondissement,45.77181,4.82074,Private room,2,1.0,85.0,5,20,363,1,2023-10-14,5.0,Unlicensed,1.0,9
1187078,3308962,2012-08-19,f,6e Arrondissement,45.7666,4.84657,Entire home/apt,2,1.0,102.0,1,365,0,36,2024-08-21,4.58,licensed,1.0,23
1193019,6520034,2013-05-22,t,3e Arrondissement,45.76025,4.87302,Private room,1,1.0,40.0,3,1125,170,20,2024-08-10,4.9,Unlicensed,1.0,42
1206759,6566071,2013-05-25,f,4e Arrondissement,45.77621,4.83692,Entire home/apt,4,1.0,55.0,7,1125,256,0,2022-12-16,4.16,licensed,1.0,19
1242531,6772488,2013-06-06,t,1er Arrondissement,45.76807,4.82887,Entire home/apt,4,1.0,69.0,3,30,4,28,2024-09-06,4.94,licensed,1.0,53
1259680,6859895,2013-06-11,t,5e Arrondissement,45.75625,4.7962,Entire home/apt,4,1.0,130.0,1,20,348,22,2024-08-17,4.89,licensed,1.0,47
