latitude,longitude,accommodates,bathrooms,amenities_count,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,review_scores_rating,bedrooms,host_is_superhost_false,host_is_superhost_true,Entire home/apt,Hotel room,Private room,Shared room,Exempt,Mobility lease only,Unlicensed,licensed,bathrooms_ratio,1er Arrondissement,2e Arrondissement,3e Arrondissement,4e Arrondissement,5e Arrondissement,6e Arrondissement,7e Arrondissement,8e Arrondissement,9e Arrondissement
45.75673,4.81539,1.6094379124341003,1.0986122886681098,39,4.290459441148391,3,180,309,0.0,4.76,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,1,0,0,0,0
45.76413,4.83734,1.6094379124341003,1.0986122886681098,62,5.25227342804663,15,1124,5,0.0,4.38,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,1,0,0,0,0,0,0,0
45.75874,4.84776,2.1972245773362196,1.3862943611198906,38,5.484796933490655,2,14,3,2.4849066497880004,4.9,1.791759469228055,0,1,1,0,0,0,0,0,0,1,0.6309297535714574,0,0,1,0,0,0,0,0,0
45.76964,4.85835,1.9459101490553132,1.3862943611198906,48,5.198497031265826,4,92,295,0.6931471805599453,4.54,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.7124143742160444,0,0,0,0,0,1,0,0,0
45.76758,4.8584,1.9459101490553132,1.3862943611198906,34,4.454347296253507,60,365,312,1.3862943611198906,5.0,1.0986122886681098,1,0,1,0,0,0,0,1,0,0,0.7124143742160444,0,0,0,0,0,1,0,0,0
45.74607,4.84326,1.9459101490553132,1.0986122886681098,37,5.017279836814924,2,15,135,2.70805020110221,4.78,1.3862943611198906,0,1,1,0,0,0,0,0,0,1,0.5645750340535797,0,0,0,0,0,0,1,0,0
45.75158,4.84516,1.6094379124341003,1.0986122886681098,26,4.07753744390572,28,1124,227,1.0986122886681098,4.41,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,0,0,1,0,0
45.74778,4.84341,1.0986122886681098,1.0986122886681098,24,4.0943445622221,2,1125,49,0.0,4.78,0.6931471805599453,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0
45.73959,4.87598,1.0986122886681098,1.0986122886681098,28,4.110873864173311,7,1125,197,1.9459101490553132,4.56,0.0,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0
45.76143,4.8455,1.9459101490553132,1.0986122886681098,44,5.703782474656201,2,1125,122,2.3978952727983707,4.9,1.3862943611198906,1,0,1,0,0,0,0,0,0,1,0.5645750340535797,0,0,1,0,0,0,0,0,0
